# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code_4_model
# start_datetime = 2023-03-23 10:49:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 6000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4838282
# output
#   file = /root/data_analytics/samples/code_4-20230323104952_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.368252
# Diagonal elements of inverse mass matrix:
# 0.917965
-0.746089,0,0.368252,0,1,1,1.21627,0.0727636
-0.746089,0.20238,0.368252,1,2,1,2.88655,0.0727636
-0.830483,0.813471,0.368252,2,7,0,0.8347,0.541824
-1.24506,0.994736,0.368252,3,7,0,1.24928,0.995054
-2.29639,0.795211,0.368252,2,5,1,2.79206,1.97302
-2.25682,1,0.368252,1,1,0,2.30113,1.93777
-3.23252,0.998697,0.368252,3,7,0,3.25495,2.79132
-3.16393,1,0.368252,1,1,0,3.23313,2.73217
-2.29401,0.8,0.368252,2,5,1,3.38811,1.97091
-2.55071,0.998942,0.368252,3,7,0,3.16805,2.19808
-2.57861,0.999985,0.368252,2,3,0,2.58721,2.22263
-2.80916,0.999726,0.368252,2,3,0,2.81617,2.42445
-2.85176,0.999819,0.368252,2,3,0,3.01677,2.46156
-2.01773,0.666667,0.368252,1,3,1,4.63569,1.723
-1.60201,0.999487,0.368252,2,5,0,2.41185,1.34016
-1.25866,0.999314,0.368252,1,3,0,1.88182,1.00865
-1.26246,0.999971,0.368252,1,1,0,1.27627,1.01244
-0.656715,0.998935,0.368252,2,5,0,1.48537,0.239689
-0.741192,0.984831,0.368252,1,3,0,0.818355,0.418955
-0.65503,0.997803,0.368252,1,3,0,0.813496,0.230672
-0.65503,7.45674e-10,0.368252,1,1,0,0.839422,0.230672
-0.65503,0,0.368252,0,1,1,0.867889,0.230672
