# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code_5_model
# start_datetime = 2023-03-23 10:50:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 6000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4838282
# output
#   file = /root/data_analytics/samples/code_5-20230323105056_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.732092
# Diagonal elements of inverse mass matrix:
# 1.24512
-1.86529,0.928772,0.732092,1,3,0,2.04618,0.305092
-1.82933,1,0.732092,1,1,0,1.90905,0.318111
-1.80904,0.996147,0.732092,2,7,0,1.86085,2.26465
-1.71007,0.990617,0.732092,2,7,0,1.96853,0.367778
-1.60486,1,0.732092,1,1,0,1.71295,0.422632
-1.29964,0.988298,0.732092,2,7,0,1.55737,1.3089
-1.27124,1,0.732092,1,1,0,1.29341,1.19587
-1.37972,0.952338,0.732092,1,3,0,1.57423,0.610813
-1.43908,0.992799,0.732092,1,1,0,1.44352,0.545847
-3.20553,0.836578,0.732092,3,7,0,3.2572,0.0836813
-3.50708,0.998415,0.732092,2,3,0,3.51969,0.0644951
-1.94532,0.699088,0.732092,1,3,0,4.278,0.278725
-1.26224,0.990045,0.732092,2,7,0,2.32311,0.866495
-1.94826,0.852949,0.732092,1,3,0,2.47226,0.277819
-1.29656,0.673804,0.732092,2,3,0,3.57323,0.751318
-1.43017,0.968077,0.732092,1,3,0,1.62743,1.63699
-1.43017,0.494082,0.732092,1,1,0,2.26426,1.63699
-1.25106,1,0.732092,1,3,0,1.41616,1.04166
-1.3252,0.979596,0.732092,2,3,0,1.38415,0.692025
-2.61923,0.945302,0.732092,3,7,0,2.62213,0.141759
-2.40526,1,0.732092,1,1,0,2.63005,0.173683
-1.93551,0.996891,0.732092,3,7,0,2.54472,2.44068
-1.93551,0.356035,0.732092,1,1,0,2.92754,2.44068
-1.75379,0.262236,0.732092,2,3,0,3.85646,0.348277
-1.99318,0.958937,0.732092,2,3,0,2.63633,0.264452
-1.84155,1,0.732092,1,1,0,1.99785,0.313599
-1.33613,0.973774,0.732092,1,3,0,1.94335,0.673212
-1.29348,0.974957,0.732092,2,3,0,1.54084,1.28745
-1.67882,0.924268,0.732092,2,7,0,1.70282,0.38279
-2.45953,0.834133,0.732092,1,3,0,2.64251,0.164839
-1.64913,1,0.732092,2,3,0,2.44858,0.398
-1.40385,0.981579,0.732092,2,3,0,2.02853,0.58229
-1.69552,0.981234,0.732092,2,7,0,1.70283,2.09685
-1.59097,1,0.732092,1,1,0,1.757,1.93062
-1.7508,0.934072,0.732092,1,1,0,1.85375,2.17994
-1.67334,1,0.732092,2,3,0,1.85955,2.06268
-1.27609,0.96655,0.732092,1,3,0,1.82512,0.809348
-1.28285,0.990357,0.732092,1,3,0,1.36409,1.2471
-4.54996,0.211376,0.732092,1,1,0,4.64107,5.30946
-1.28181,1,0.732092,1,1,0,3.08969,1.2429
-1.28283,0.982114,0.732092,1,3,0,1.38391,0.787982
-2.52437,0.759724,0.732092,1,3,0,3.74009,0.154969
-2.20819,1,0.732092,1,1,0,2.51327,0.211092
-1.33082,0.928309,0.732092,2,7,0,2.60786,0.682157
-1.63434,0.947585,0.732092,1,3,0,1.9594,2.00124
-1.98951,0.923621,0.732092,2,3,0,2.1114,2.51314
-2.67858,0.659872,0.732092,1,1,0,3.03843,3.3526
-1.63141,1,0.732092,1,1,0,2.28497,1.99655
-1.35221,0.891062,0.732092,1,3,0,2.06927,0.648176
-1.61717,0.947999,0.732092,1,3,0,1.99209,1.97359
-1.61717,0.14093,0.732092,1,1,0,3.07555,1.97359
-2.52524,0.627997,0.732092,1,1,0,2.66492,3.17573
-1.98216,1,0.732092,2,7,0,2.56145,0.26765
-1.55587,0.999206,0.732092,2,3,0,2.03774,0.45314
-1.54159,1,0.732092,1,1,0,1.58661,0.462791
-1.36086,0.964622,0.732092,1,3,0,2.05556,1.48226
-1.38955,0.990984,0.732092,1,1,0,1.41513,1.5497
-1.28009,1,0.732092,2,7,0,1.36555,0.796316
-2.04337,0.942532,0.732092,2,7,0,2.57686,0.250533
-1.36478,1,0.732092,2,3,0,1.98389,0.630363
-1.27389,0.998558,0.732092,2,7,0,1.35063,1.20845
-1.26346,1,0.732092,1,1,0,1.27258,1.15404
-1.25674,1,0.732092,1,1,0,1.26228,1.10751
-1.79303,0.930706,0.732092,2,7,0,1.80227,0.332099
-1.98063,0.988089,0.732092,1,1,0,1.98686,0.268097
-1.75592,1,0.732092,1,1,0,1.96737,0.34737
-1.25083,0.980438,0.732092,1,3,0,2.12187,1.03691
-1.43368,0.920679,0.732092,2,3,0,2.06579,0.551091
-1.55234,0.987341,0.732092,1,1,0,1.55334,0.455492
-1.42031,1,0.732092,1,1,0,1.538,0.564582
-1.96023,0.908591,0.732092,1,3,0,2.09216,0.274168
-1.78905,1,0.732092,1,1,0,1.95765,0.333686
-1.78489,1,0.732092,1,1,0,1.84456,0.335361
-1.68671,1,0.732092,1,1,0,1.79555,0.378911
-1.25858,1,0.732092,1,3,0,1.86269,0.887357
-1.25705,1,0.732092,1,1,0,1.25924,0.897544
-1.26987,0.994618,0.732092,1,3,0,1.30057,1.18906
-1.46009,0.916554,0.732092,1,3,0,1.74559,0.526425
-1.41725,0.995589,0.732092,2,3,0,1.57257,0.56778
-3.96653,0.881606,0.732092,3,7,0,4.04361,0.0437404
-3.90583,1,0.732092,1,1,0,4.0567,0.0460216
-3.99237,0.998206,0.732092,2,3,0,4.43399,0.0428054
-4.04909,0.999835,0.732092,2,3,0,4.14229,0.0408257
-6.01486,0.442511,0.732092,3,7,0,7.84576,6.71645
-4.2032,0.439186,0.732092,2,5,0,7.06548,0.0359132
-1.27355,0.458014,0.732092,3,7,0,3.70863,1.20687
-1.35156,0.97928,0.732092,1,1,0,1.35157,1.45901
