# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code_5_model
# start_datetime = 2023-03-23 10:50:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 6000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4838282
# output
#   file = /root/data_analytics/samples/code_5-20230323105056_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.884021
# Diagonal elements of inverse mass matrix:
# 1.18227
-4.65747,0.645609,0.884021,1,1,0,4.65762,5.41518
-1.45357,1,0.884021,1,1,0,3.72709,0.532294
-1.89758,0.881844,0.884021,2,3,0,2.67536,0.294045
-1.47801,0.953176,0.884021,1,3,0,1.8553,0.510973
-1.25849,1,0.884021,2,3,0,1.42412,1.12115
-1.25849,0.00451318,0.884021,1,1,0,3.3675,1.12115
-1.28621,0.990657,0.884021,1,1,0,1.28681,1.26038
-1.28621,0.134004,0.884021,1,1,0,2.50264,1.26038
-1.25,0.987153,0.884021,2,3,0,1.3382,1.00179
-1.25007,0.999914,0.884021,2,3,0,1.25044,0.989655
-1.54047,0.923145,0.884021,1,3,0,1.6494,0.463562
-2.48501,0.965335,0.884021,1,3,0,2.66316,0.160873
-2.2159,1,0.884021,1,1,0,2.49673,0.20945
-1.25561,0.587936,0.884021,2,3,0,2.5059,0.908205
-1.26611,0.997321,0.884021,1,1,0,1.26631,0.847914
-3.50817,0.35998,0.884021,1,1,0,3.54657,4.25451
-1.95868,0.718612,0.884021,2,7,0,4.87497,0.274637
-1.51496,0.99631,0.884021,2,3,0,2.0811,0.481852
-1.26388,0.981104,0.884021,2,3,0,1.71599,1.15651
-1.26388,0.0371153,0.884021,1,1,0,2.91944,1.15651
-1.27124,0.999169,0.884021,2,3,0,1.27467,1.19583
-1.27124,0.57214,0.884021,1,1,0,1.84872,1.19583
-1.27124,0.0840108,0.884021,1,1,0,2.67803,1.19583
-1.27124,0.68236,0.884021,1,1,0,1.71206,1.19583
